cod_mpio,nom_mpio,dpto,tasa_prom,tasa_pico,pm25,poblacion,indice_vulnerabilidad,nivel_vulnerabilidad
68132,CALIFORNIA,SANTANDER,45.31037607612144,45.31037607612144,13.518945628712185,2207.0,6.38,Alto
50001,VILLAVICENCIO,META,10.92010682526433,59.31760121894828,14.687246610411117,561834.0,6.38,Alto
73624,ROVIRA,TOLIMA,13.079032365863984,98.74105159219944,14.687246610411117,22141.0,6.37,Alto
47288,FUNDACIÓN,MAGDALENA,14.36199936422195,60.84099640168965,14.069054054054057,72056.0,6.37,Alto
86320,ORITO,PUTUMAYO,12.329266387706435,53.4841075794621,14.687246610411117,57774.0,6.36,Alto
8436,MANATÍ,ATLÁNTICO,12.451120862793069,42.37886707162029,16.887182061579654,21237.0,6.36,Alto
68425,MACARAVITA,SANTANDER,44.18912947414936,44.18912947414936,13.518945628712185,2263.0,6.35,Alto
68377,LA BELLEZA,SANTANDER,27.496933034392317,69.79990693345742,13.518945628712185,8596.0,6.35,Alto
17877,VITERBO,CALDAS,18.64499845883445,80.72328059412334,14.211764705882352,12991.0,6.33,Alto
41026,ALTAMIRA,HUILA,23.726816885294,44.072278536800354,14.687246610411117,4626.0,6.32,Alto
13780,TALAIGUA NUEVO,BOLÍVAR,14.868508554178819,43.557801202195314,16.05,11479.0,6.32,Alto
5604,REMEDIOS,ANTIOQUIA,19.012561677454567,92.55417610825648,13.159560643113306,32057.0,6.31,Alto
68344,HATO,SANTANDER,43.07564762839939,43.122035360069,13.518945628712185,2324.0,6.3,Alto
25473,MOSQUERA,CUNDINAMARCA,17.146087538238046,81.92305965794317,12.274585635359118,142784.0,6.3,Alto
23090,CANALETE,CÓRDOBA,15.05038733830961,119.04761904761908,13.8,23520.0,6.3,Alto
41872,VILLAVIEJA,HUILA,21.460665682740643,41.07900862659181,14.687246610411117,7598.0,6.3,Alto
76845,ULLOA,VALLE DEL CAUCA,19.11659668018881,37.714501225721285,14.924172231491601,5758.0,6.3,Alto
5480,MUTATÁ,ANTIOQUIA,19.86588752963263,109.29708313409384,13.159560643113306,22505.0,6.3,Alto
68682,SAN JOAQUÍN,SANTANDER,42.52897178818094,42.88164665523156,13.518945628712185,2371.0,6.29,Alto
73283,FRESNO,TOLIMA,12.527126895515206,63.77122910653152,14.687246610411117,31702.0,6.28,Alto
68573,PUERTO PARRA,SANTANDER,23.460070197154675,87.37985270253402,13.518945628712185,8011.0,6.27,Medio
13440,MARGARITA,BOLÍVAR,16.674394266776027,29.279718914698417,16.05,11435.0,6.27,Medio
54051,ARBOLEDAS,NORTE DE SANTANDER,12.760512277667871,47.04554008280015,30.71875,10628.0,6.26,Medio
54520,PAMPLONITA,NORTE DE SANTANDER,20.11667672500503,20.11667672500503,30.71875,4971.0,6.26,Medio
41548,PITAL,HUILA,15.606776778348202,64.09343398376299,14.687246610411117,14449.0,6.26,Medio
18460,MILÁN,CAQUETÁ,17.221879397820118,49.52456418383518,14.687246610411117,11860.0,6.26,Medio
73349,HONDA,TOLIMA,12.607185905410091,71.33864876206462,14.687246610411117,25718.0,6.26,Medio
97161,CARURÚ,VAUPÉS,29.991897543463953,30.35822707953856,14.687246610411117,3344.0,6.24,Medio
63302,GÉNOVA,QUINDÍO,18.899008137669583,54.43658138268917,14.687246610411117,7633.0,6.24,Medio
68264,ENCINO,SANTANDER,41.23711340206186,41.23711340206186,13.518945628712185,2425.0,6.23,Medio
91263,EL ENCANTO,AMAZONAS,22.557569900410012,39.856516540454365,14.687246610411117,5018.0,6.22,Medio
68211,CONTRATACIÓN,SANTANDER,31.556757080612208,60.40471156750227,13.518945628712185,3760.0,6.22,Medio
76869,VIJES,VALLE DEL CAUCA,14.27933279685403,43.33882291756956,14.924172231491601,13170.0,6.21,Medio
52540,POLICARPA,NARIÑO,13.8640447756952,68.762278978389,14.687246610411117,18104.0,6.21,Medio
68867,VETAS,SANTANDER,40.52429052429053,40.58441558441559,13.518945628712185,2475.0,6.2,Medio
73585,PURIFICACIÓN,TOLIMA,12.752312971951174,53.73274675084797,14.687246610411117,29777.0,6.2,Medio
70473,MORROA,SUCRE,15.84704733286886,46.29323457443291,14.687246610411117,15930.0,6.2,Medio
70508,OVEJAS,SUCRE,12.399869893014488,76.75333397294445,14.687246610411117,23283.0,6.2,Medio
54405,LOS PATIOS,NORTE DE SANTANDER,8.973503977201112,31.50638319323495,30.71875,100314.0,6.2,Medio
73152,CASABIANCA,TOLIMA,18.54636153236154,60.76257025672186,14.687246610411117,6603.0,6.2,Medio
50450,PUERTO CONCORDIA,META,12.501316451821452,73.49444468462237,14.687246610411117,23131.0,6.19,Medio
15469,MONIQUIRÁ,BOYACÁ,14.513903461081117,42.48890567462941,14.687246610411117,23560.0,6.19,Medio
73449,MELGAR,TOLIMA,13.050308698462205,40.29658284977434,14.687246610411117,37674.0,6.17,Medio
18592,PUERTO RICO,CAQUETÁ,11.687955441179456,62.31269101807069,14.687246610411117,33701.0,6.17,Medio
20032,ASTREA,CESAR,17.29086766136541,77.36345350456445,13.316487459299958,22021.0,6.16,Medio
68169,CHARTA,SANTANDER,39.77724741447892,39.77724741447892,13.518945628712185,2514.0,6.16,Medio
54599,RAGONVALIA,NORTE DE SANTANDER,15.91493561627439,30.670142616163165,30.71875,6912.0,6.15,Medio
70742,SAN LUIS DE SINCÉ,SUCRE,11.445583851041782,59.962309405516535,14.687246610411117,35022.0,6.15,Medio
19533,PIAMONTE,CAUCA,27.541762894610624,121.01653892698668,11.033928571428572,9489.0,6.15,Medio
5004,ABRIAQUÍ,ANTIOQUIA,51.7871493273953,52.13764337851929,13.159560643113306,1971.0,6.14,Medio
5858,VEGACHÍ,ANTIOQUIA,28.085684187328884,91.08505066605944,10.6,12230.0,6.13,Medio
47660,SABANAS DE SAN ÁNGEL,MAGDALENA,15.445708140797379,91.07468123861568,14.069054054054057,17832.0,6.13,Medio
15162,CERINZA,BOYACÁ,27.770063871146903,27.770063871146903,14.687246610411117,3601.0,6.13,Medio
13647,SAN ESTANISLAO,BOLÍVAR,10.983721424770376,47.99040191961608,16.05,19406.0,6.13,Medio
8141,CANDELARIA,ATLÁNTICO,11.820912276276744,39.76775630318938,16.887182061579654,17204.0,6.12,Medio
25086,BELTRÁN,CUNDINAMARCA,43.066322136089575,43.066322136089575,13.23243093922652,2322.0,6.11,Medio
13673,SANTA CATALINA,BOLÍVAR,13.187427379940665,36.55772464721796,16.05,15547.0,6.11,Medio
68673,SAN BENITO,SANTANDER,30.176387343612493,49.91265285749938,13.518945628712185,4030.0,6.1,Medio
25823,TOPAIPÍ,CUNDINAMARCA,37.18578015766771,44.62293618920125,13.23243093922652,4482.0,6.1,Medio
41357,ÍQUIRA,HUILA,14.239278558428614,66.05989430416912,14.687246610411117,13624.0,6.1,Medio
8770,SUAN,ATLÁNTICO,13.429936717742427,35.84657665192974,16.887182061579654,12802.0,6.09,Medio
73030,AMBALEMA,TOLIMA,18.505049404187073,46.00521392424474,14.687246610411117,6804.0,6.09,Medio
13160,CANTAGALLO,BOLÍVAR,14.032448232006196,41.160732661041365,16.05,9888.0,6.08,Medio
68209,CONFINES,SANTANDER,36.84857730349042,37.18854592785422,13.518945628712185,3194.0,6.08,Medio
81300,FORTUL,ARAUCA,9.30658436465385,41.04783939099933,25.23333333333333,26798.0,6.07,Medio
52835,SAN ANDRÉS DE TUMACO,NARIÑO,10.60930595592108,37.77426651127009,14.687246610411117,262567.0,6.07,Medio
13442,MARÍA LA BAJA,BOLÍVAR,8.804849735343677,40.4841909234444,16.05,49462.0,6.05,Medio
13433,MAHATES,BOLÍVAR,9.659856616778939,44.079750440797504,16.05,29492.0,6.04,Medio
18479,MORELIA,CAQUETÁ,25.75345032481533,26.08242044861763,14.687246610411117,3924.0,6.04,Medio
25524,PANDI,CUNDINAMARCA,29.999358958729374,55.50416281221092,13.23243093922652,5729.0,6.03,Medio
68385,LANDÁZURI,SANTANDER,17.907978715232368,64.69979296066252,13.518945628712185,15456.0,6.03,Medio
25878,VIOTÁ,CUNDINAMARCA,20.021412198824407,67.58278891642261,13.23243093922652,14289.0,6.03,Medio
68745,SIMACOTA,SANTANDER,19.593613541020673,67.63154335181929,13.518945628712185,10485.0,6.02,Medio
54720,SARDINATA,NORTE DE SANTANDER,8.792242381369023,39.852986759952174,30.71875,27962.0,6.01,Medio
25095,BITUIMA,CUNDINAMARCA,40.32258064516129,40.32258064516129,13.23243093922652,2480.0,6.01,Medio
25035,ANAPOIMA,CUNDINAMARCA,17.677406768345836,92.02888291094436,13.23243093922652,16085.0,6.01,Medio
70001,SINCELEJO,SUCRE,9.115104498944062,50.92490640828012,14.687246610411117,301745.0,6.0,Medio
41013,AGRADO,HUILA,16.636176561879342,43.36983627886805,14.687246610411117,9276.0,5.99,Medio
47053,ARACATACA,MAGDALENA,12.082207132950158,62.8459548959416,14.069054054054057,43413.0,5.97,Medio
70523,PALMITO,SUCRE,12.603971455187349,67.6132521974307,14.687246610411117,15736.0,5.97,Medio
8296,GALAPA,ATLÁNTICO,8.036899769195491,34.555742732495354,16.887182061579654,66485.0,5.96,Medio
13248,EL GUAMO,BOLÍVAR,14.607692828337443,32.53443227415681,16.05,9221.0,5.95,Medio
54660,SALAZAR,NORTE DE SANTANDER,13.677405996559635,22.639800769753226,30.71875,11250.0,5.94,Medio
41770,SUAZA,HUILA,12.023135302276039,47.3664266767715,14.687246610411117,23043.0,5.93,Medio
99524,LA PRIMAVERA,VICHADA,13.30921699365533,45.38749574492227,14.687246610411117,17626.0,5.93,Medio
5107,BRICEÑO,ANTIOQUIA,20.020541438360386,149.89046466044044,13.159560643113306,8673.0,5.93,Medio
27205,CONDOTO,CHOCÓ,13.479608160056264,52.17164471109951,14.687246610411117,15334.0,5.93,Medio
18205,CURILLO,CAQUETÁ,15.434529079623152,42.08754208754208,14.687246610411117,11880.0,5.93,Medio
47268,EL RETÉN,MAGDALENA,14.21086405520585,61.61429451632779,14.069054054054057,22042.0,5.92,Medio
81794,TAME,ARAUCA,6.102755901331095,54.91689243611335,25.23333333333333,54628.0,5.92,Medio
70233,EL ROBLE,SUCRE,16.471896718504777,36.21876131836292,14.687246610411117,11044.0,5.92,Medio
25324,GUATAQUÍ,CUNDINAMARCA,36.98735374528622,37.18854592785422,13.23243093922652,2711.0,5.89,Medio
54344,HACARÍ,NORTE DE SANTANDER,12.411188066482337,27.6243093922652,30.71875,11135.0,5.88,Medio
15104,BOYACÁ,BOYACÁ,21.81947289136275,23.27205026762858,14.687246610411117,5287.0,5.88,Medio
54313,GRAMALOTE,NORTE DE SANTANDER,15.593341707258805,18.864365214110546,30.71875,8052.0,5.88,Medio
20013,AGUSTÍN CODAZZI,CESAR,10.150557451228376,72.50171184597414,14.103418803418803,67084.0,5.88,Medio
76616,RIOFRÍO,VALLE DEL CAUCA,13.097230997945326,28.97710808461316,14.924172231491601,15846.0,5.87,Medio
15753,SOATÁ,BOYACÁ,19.286688291485017,30.576364470264487,14.687246610411117,6713.0,5.87,Medio
20710,SAN ALBERTO,CESAR,14.451928312660687,61.34969325153374,13.316487459299958,29008.0,5.86,Medio
76890,YOTOCO,VALLE DEL CAUCA,10.697699233087084,42.270531400966185,14.924172231491601,16560.0,5.83,Medio
47030,ALGARROBO,MAGDALENA,13.660962257083137,77.9423226812159,14.069054054054057,17038.0,5.83,Medio
73555,PLANADAS,TOLIMA,9.936493856075728,59.76690905468672,14.687246610411117,30117.0,5.83,Medio
76113,BUGALAGRANDE,VALLE DEL CAUCA,9.747710432416515,38.15701612133931,14.924172231491601,25800.0,5.82,Medio
76863,VERSALLES,VALLE DEL CAUCA,15.789685827783646,27.07459049681874,14.924172231491601,7387.0,5.82,Medio
15572,PUERTO BOYACÁ,BOYACÁ,10.299404510902033,35.13086246267346,14.687246610411117,56930.0,5.8,Medio
27245,EL CARMEN DE ATRATO,CHOCÓ,12.847775436988739,45.61003420752566,14.687246610411117,15015.0,5.8,Medio
52565,PROVIDENCIA,NARIÑO,14.839115021772201,34.97726477789437,14.687246610411117,13854.0,5.79,Medio
76622,ROLDANILLO,VALLE DEL CAUCA,7.529091342088249,49.94537224910254,14.924172231491601,37509.0,5.78,Medio
20550,PELAYA,CESAR,14.756571529338268,61.191485641854975,13.316487459299958,22879.0,5.78,Medio
76243,EL ÁGUILA,VALLE DEL CAUCA,12.692794091982522,35.52397868561279,14.924172231491601,11260.0,5.78,Medio
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,14.047179206364302,42.444821731748725,14.687246610411117,11780.0,5.78,Medio
68235,EL CARMEN DE CHUCURÍ,SANTANDER,15.29839615741154,47.94323520951194,13.518945628712185,21977.0,5.78,Medio
25612,RICAURTE,CUNDINAMARCA,16.034845771980955,90.21651964715316,13.23243093922652,14367.0,5.77,Medio
81001,ARAUCA,ARAUCA,5.583590753515267,40.745863758698704,25.23333333333333,95631.0,5.76,Medio
44420,LA JAGUA DEL PILAR,LA GUAJIRA,35.917390002993116,59.8623166716552,7.599999999999999,3341.0,5.75,Medio
47692,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,13.96607121236427,45.45712824592306,14.069054054054057,21430.0,5.75,Medio
13473,MORALES,BOLÍVAR,6.595471213263303,84.49326277404722,16.05,24027.0,5.75,Medio
54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,6.126357788205461,27.206165933694688,30.71875,786991.0,5.74,Medio
13222,CLEMENCIA,BOLÍVAR,11.197961341210265,30.85705469412944,16.05,15698.0,5.73,Medio
25572,PUERTO SALGAR,CUNDINAMARCA,16.15554621453901,55.01100220044008,13.23243093922652,19996.0,5.73,Medio
8372,JUAN DE ACOSTA,ATLÁNTICO,9.084329816429241,34.30727886099834,16.887182061579654,22823.0,5.72,Medio
20443,MANAURE BALCÓN DEL CESAR,CESAR,15.227894539655203,75.44797233574347,13.316487459299958,15905.0,5.72,Medio
70670,SAMPUÉS,SUCRE,9.772373084584892,36.37591914152831,14.687246610411117,51024.0,5.72,Medio
15189,CIÉNEGA,BOYACÁ,20.920502092050206,20.920502092050206,14.687246610411117,4780.0,5.71,Medio
25580,PULÍ,CUNDINAMARCA,32.94173215736418,32.99241174529858,13.23243093922652,3038.0,5.7,Medio
