cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
50711,VISTAHERMOSA,Dengue,1.512627424559799,7.05,Alto,MEDIO,Municipio en MEDIO: se prevén 1.51 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
50711,VISTAHERMOSA,Malaria,1.3476089736233146,7.05,Alto,MEDIO,Municipio en MEDIO: se prevén 1.35 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.0/10).
52001,PASTO,Dengue,1.4668860576578022,3.46,Bajo,BAJO,Municipio en BAJO: se prevén 1.47 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.5/10).
52001,PASTO,Malaria,1.236941763033117,3.46,Bajo,BAJO,Municipio en BAJO: se prevén 1.24 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.5/10).
52079,BARBACOAS,Dengue,1.5591538889726198,8.95,Alto,MEDIO,Municipio en MEDIO: se prevén 1.56 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.9/10).
52079,BARBACOAS,Malaria,8.952811361612465,8.95,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 8.95 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (8.9/10).
52233,CUMBITARA,Malaria,21.12520198994202,8.45,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 21.13 casos de Malaria (predicción Alta) y la zona tiene vulnerabilidad alta (8.4/10).
52250,EL CHARCO,Dengue,1.2767715873811114,8.83,Alto,MEDIO,Municipio en MEDIO: se prevén 1.28 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.8/10).
52250,EL CHARCO,Malaria,8.661057458971811,8.83,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 8.66 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (8.8/10).
52356,IPIALES,Dengue,1.2271301418243854,3.48,Bajo,BAJO,Municipio en BAJO: se prevén 1.23 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.5/10).
52390,LA TOLA,Malaria,7.9115642068368945,8.25,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 7.91 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (8.2/10).
52405,LEIVA,Dengue,1.2639059025649084,5.02,Medio,BAJO,Municipio en BAJO: se prevén 1.26 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.0/10).
52427,MAGÜÍ,Dengue,1.4902024608809945,8.51,Alto,MEDIO,Municipio en MEDIO: se prevén 1.49 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.5/10).
52427,MAGÜÍ,Malaria,15.005667671111096,8.51,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 15.01 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (8.5/10).
52490,OLAYA HERRERA,Dengue,2.389202149243152,8.86,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 2.39 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad alta (8.9/10).
52490,OLAYA HERRERA,Malaria,20.52313101799324,8.86,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 20.52 casos de Malaria (predicción Alta) y la zona tiene vulnerabilidad alta (8.9/10).
52520,FRANCISCO PIZARRO,Dengue,1.522505401176876,7.8,Alto,MEDIO,Municipio en MEDIO: se prevén 1.52 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.8/10).
52520,FRANCISCO PIZARRO,Malaria,4.342899248055803,7.8,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 4.34 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (7.8/10).
52540,POLICARPA,Dengue,2.240473173900273,6.21,Medio,ALTO,Municipio en ALTO: se prevén 2.24 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad media (6.2/10).
52540,POLICARPA,Malaria,2.2989970851242725,6.21,Medio,BAJO,Municipio en BAJO: se prevén 2.30 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (6.2/10).
